Quarter,Percentage Change (%),Quarterly Volume,Volatility,Quarter ROI (%),ROI on $1500 ($),Sector
2020Q1,-46.5697349053629,1141243400.0,12.456121347633385,-46.26087607138447,-693.9131410707672,Oil
2020Q2,26.6715229012807,1045309066.6666666,4.068016047256656,31.00303185563766,465.0454778345649,Oil
2020Q3,-19.31777694839825,847802933.3333334,3.0875517248088293,-21.549050611019947,-323.23575916529916,Oil
2020Q4,22.933655162500674,1145599033.3333333,5.12317666312332,21.38702392392724,320.8053588589086,Oil
2021Q1,31.702665129389036,1107945300.0,5.88738042470347,29.51590228576404,442.7385342864605,Oil
2021Q2,6.468289182470021,883882533.3333334,2.8987407349247136,8.718305137631079,130.77457706446617,Oil
2021Q3,0.30061768482387663,848567266.6666666,2.498137986005563,-1.8681470234380226,-28.022205351570335,Oil
2021Q4,4.87864077290983,818031500.0,2.277658059419077,7.784905853908945,116.77358780863416,Oil
2020Q1,-9.489268383331657,1808848190.6666667,3.672863328270991,-10.5536798438407,-158.3051976576105,Telecom
2020Q2,11.721598153647923,1607944362.3333333,3.049992808165395,12.34175235614859,185.12628534222884,Telecom
2020Q3,3.4968170189878065,1310535717.3333333,2.091077607260408,3.6079035873632144,54.11855381044821,Telecom
2020Q4,4.191255210744968,1567468072.0,3.400057968020395,5.66937003574941,85.04055053624116,Telecom
2021Q1,-0.9438113096368502,1729879386.6666667,1.8228804474737925,-1.696152765606291,-25.44229148409436,Telecom
2021Q2,1.1531080248371344,1681986209.6666667,2.4642210017915676,2.271469745522413,34.07204618283618,Telecom
2021Q3,-6.712992501827821,1315959484.0,2.6555368647768596,-7.326421695655866,-109.89632543483799,Telecom
2021Q4,-6.976488976154201,2050336493.0,1.7411170537809963,-7.302315110262456,-109.53472665393684,Telecom
